reg
diabetes

/home/mbaddar/Documents/mbaddar/phd/genmodel/genmodel39_venv/bin/python /home/mbaddar/Documents/mbaddar/phd/genmodel/RectifiedFlow/tutorial/test_tensor_bsplines_clf_reg.py
data range = (-0.13776722569000302, 0.19878798965729408)
Iteration 763, loss = 1452.95873918
Iteration 764, loss = 1452.93965615
Iteration 765, loss = 1452.80020149
Iteration 766, loss = 1452.67309595
Iteration 767, loss = 1452.64946587
Iteration 768, loss = 1452.68421010
Iteration 769, loss = 1452.50849002
Iteration 770, loss = 1452.58592315
Iteration 771, loss = 1452.41577457
Iteration 772, loss = 1452.37040503
Iteration 773, loss = 1452.36200627
Iteration 774, loss = 1452.25177390
Iteration 775, loss = 1452.32949177
Iteration 776, loss = 1452.40074173
Iteration 777, loss = 1452.14577064
Iteration 778, loss = 1452.06871421
Iteration 779, loss = 1452.46293632
Iteration 780, loss = 1451.98058666
Iteration 781, loss = 1452.02990877
Iteration 782, loss = 1451.92795714
Iteration 783, loss = 1451.91739218
Iteration 784, loss = 1451.77333161
Iteration 785, loss = 1451.74165373
Iteration 786, loss = 1451.72228302
Iteration 787, loss = 1451.67267350
Iteration 788, loss = 1451.59888956
Iteration 789, loss = 1451.58113254
Iteration 790, loss = 1451.51202346
Iteration 791, loss = 1451.47114131
Iteration 792, loss = 1451.46268664
Iteration 793, loss = 1451.37067815
Iteration 794, loss = 1451.36469276
Iteration 795, loss = 1451.24159249
Iteration 796, loss = 1451.27758314
Iteration 797, loss = 1451.14257496
Iteration 798, loss = 1451.18813248
Iteration 799, loss = 1451.11708142
Iteration 800, loss = 1451.25021368
Iteration 801, loss = 1451.13899470
Iteration 802, loss = 1451.12873342
Iteration 803, loss = 1451.06338269
Iteration 804, loss = 1450.96276685
Iteration 805, loss = 1451.00298326
Iteration 806, loss = 1450.80543703
Iteration 807, loss = 1450.76286912
Iteration 808, loss = 1450.71563602
Iteration 809, loss = 1450.84762891
Iteration 810, loss = 1450.59999186
Iteration 811, loss = 1450.60844136
Iteration 812, loss = 1450.69369968
Iteration 813, loss = 1450.69603006
Iteration 814, loss = 1450.45088339
Iteration 815, loss = 1450.49067388
Iteration 816, loss = 1450.58136612
Iteration 817, loss = 1450.39247135
Iteration 818, loss = 1450.24132066
Iteration 819, loss = 1450.24387003
Iteration 820, loss = 1450.14540587
Iteration 821, loss = 1450.24579045
Iteration 822, loss = 1450.05771351
Iteration 823, loss = 1450.01166524
Iteration 824, loss = 1450.13917048
Iteration 825, loss = 1450.05471389
Iteration 826, loss = 1450.04837901
Iteration 827, loss = 1449.92672777
Iteration 828, loss = 1449.81422241
Iteration 829, loss = 1449.78804502
Iteration 830, loss = 1449.71930673
Iteration 831, loss = 1450.01667379
Iteration 832, loss = 1449.66743039
Iteration 833, loss = 1449.59298765
Iteration 834, loss = 1449.59967426
Iteration 835, loss = 1449.51883669
Iteration 836, loss = 1449.46480198
Iteration 837, loss = 1449.48681521
Iteration 838, loss = 1449.49410490
Iteration 839, loss = 1449.41504458
Iteration 840, loss = 1449.35663276
Iteration 841, loss = 1449.34693590
Iteration 842, loss = 1449.35780494
Iteration 843, loss = 1449.23570903
Iteration 844, loss = 1449.50219353
Iteration 845, loss = 1449.21828357
Iteration 846, loss = 1449.23453692
Iteration 847, loss = 1449.08487678
Iteration 848, loss = 1449.03418257
Iteration 849, loss = 1449.04649271
Iteration 850, loss = 1448.97649593
Iteration 851, loss = 1448.92552279
Iteration 852, loss = 1448.96208276
Iteration 853, loss = 1448.84472030
Iteration 854, loss = 1448.84310999
Iteration 855, loss = 1448.78867485
Iteration 856, loss = 1448.76524643
Iteration 857, loss = 1448.77226588
Iteration 858, loss = 1448.73143674
Iteration 859, loss = 1448.62757613
Iteration 860, loss = 1448.70854125
Iteration 861, loss = 1448.69407796
Iteration 862, loss = 1448.52016198
Iteration 863, loss = 1448.49390909
Iteration 864, loss = 1448.44785073
Iteration 865, loss = 1448.43345014
Iteration 866, loss = 1448.43736846
Iteration 867, loss = 1448.43224239
Iteration 868, loss = 1448.36110030
Iteration 869, loss = 1448.33641051
Iteration 870, loss = 1448.38622275
Iteration 871, loss = 1448.26511084
Iteration 872, loss = 1448.17081746
Iteration 873, loss = 1448.14655424
Iteration 874, loss = 1448.16517397
Iteration 875, loss = 1448.08506577
Iteration 876, loss = 1448.02940192
Iteration 877, loss = 1447.95756355
Iteration 878, loss = 1448.02406251
Iteration 879, loss = 1447.97737164
Iteration 880, loss = 1447.84994778
Iteration 881, loss = 1447.83337845
Iteration 882, loss = 1447.95481605
Iteration 883, loss = 1447.86248083
Iteration 884, loss = 1447.85484050
Iteration 885, loss = 1447.98370446
Iteration 886, loss = 1447.69467619
Iteration 887, loss = 1447.65679563
Iteration 888, loss = 1447.60662376
Iteration 889, loss = 1447.59518506
Iteration 890, loss = 1447.53077593
Iteration 891, loss = 1447.56218981
Iteration 892, loss = 1447.66216884
Iteration 893, loss = 1447.50290226
Iteration 894, loss = 1447.48445326
Iteration 895, loss = 1447.55030920
Iteration 896, loss = 1447.57208216
Iteration 897, loss = 1447.32842990
Iteration 898, loss = 1447.32930615
Iteration 899, loss = 1447.38709010
Iteration 900, loss = 1447.24194752
Iteration 901, loss = 1447.21790905
Iteration 902, loss = 1447.33919330
Iteration 903, loss = 1447.13831730
Iteration 904, loss = 1447.12760470
Iteration 905, loss = 1447.12270304
Iteration 906, loss = 1447.04572834
Iteration 907, loss = 1447.04089478
Iteration 908, loss = 1447.06621518
Iteration 909, loss = 1447.01771980
Iteration 910, loss = 1446.95622175
Iteration 911, loss = 1447.01482621
Iteration 912, loss = 1446.91776070
Iteration 913, loss = 1446.86776073
Iteration 914, loss = 1446.87402533
Iteration 915, loss = 1446.82562180
Iteration 916, loss = 1446.86237879
Iteration 917, loss = 1446.74724237
Iteration 918, loss = 1446.71374664
Iteration 919, loss = 1446.91257236
Iteration 920, loss = 1446.70961517
Iteration 921, loss = 1446.64376181
Iteration 922, loss = 1446.60235372
Iteration 923, loss = 1446.56665079
Iteration 924, loss = 1446.65821075
Iteration 925, loss = 1446.52751372
Iteration 926, loss = 1446.49112694
Iteration 927, loss = 1446.49222571
Iteration 928, loss = 1446.42768684
Iteration 929, loss = 1446.46777281
Iteration 930, loss = 1446.45648621
Iteration 931, loss = 1446.43347185
Iteration 932, loss = 1446.43440873
Iteration 933, loss = 1446.30361446
Iteration 934, loss = 1446.31520545
Iteration 935, loss = 1446.26792314
Iteration 936, loss = 1446.20057147
Iteration 937, loss = 1446.24322378
Iteration 938, loss = 1446.18721045
Iteration 939, loss = 1446.43106166
Iteration 940, loss = 1446.17952202
Iteration 941, loss = 1446.11487387
Iteration 942, loss = 1446.00819193
Iteration 943, loss = 1446.02601553
Iteration 944, loss = 1445.98963335
Iteration 945, loss = 1446.01590042
Iteration 946, loss = 1446.08475511
Iteration 947, loss = 1446.40560529
Iteration 948, loss = 1446.02068425
Iteration 949, loss = 1445.93194446
Iteration 950, loss = 1446.31251033
Iteration 951, loss = 1445.80949162
Iteration 952, loss = 1445.80614712
Iteration 953, loss = 1445.81436801
Iteration 954, loss = 1445.73678959
Iteration 955, loss = 1445.71237995
Iteration 956, loss = 1445.87595809
Iteration 957, loss = 1445.96004708
Iteration 958, loss = 1445.76797989
Iteration 959, loss = 1445.68615711
Iteration 960, loss = 1445.67682160
Iteration 961, loss = 1445.53924699
Iteration 962, loss = 1445.52091840
Iteration 963, loss = 1445.48061240
Iteration 964, loss = 1445.67076836
Iteration 965, loss = 1445.54244245
Iteration 966, loss = 1445.54720602
Iteration 967, loss = 1445.54523363
Iteration 968, loss = 1445.38529442
Iteration 969, loss = 1445.34932365
Iteration 970, loss = 1445.31793122
Iteration 971, loss = 1445.36328629
Iteration 972, loss = 1445.30749592
Iteration 973, loss = 1445.32328035
Iteration 974, loss = 1445.35662139
Iteration 975, loss = 1445.19797257
Iteration 976, loss = 1445.15853958
Iteration 977, loss = 1445.28502598
Iteration 978, loss = 1445.13109543
Iteration 979, loss = 1445.17924310
Iteration 980, loss = 1445.08187253
Iteration 981, loss = 1445.02179217
Iteration 982, loss = 1445.51253286
Iteration 983, loss = 1445.22844945
Iteration 984, loss = 1445.03725771
Iteration 985, loss = 1445.00811329
Iteration 986, loss = 1444.91655435
Iteration 987, loss = 1444.94624464
Iteration 988, loss = 1444.97458331
Iteration 989, loss = 1445.03324557
Iteration 990, loss = 1444.81713230
Iteration 991, loss = 1444.78050803
Iteration 992, loss = 1444.71229692
Iteration 993, loss = 1444.71183500
Iteration 994, loss = 1444.76352288
Iteration 995, loss = 1444.80845017
Iteration 996, loss = 1444.78194244
Iteration 997, loss = 1444.85897081
Iteration 998, loss = 1444.93380495
Iteration 999, loss = 1444.84559332
Iteration 1000, loss = 1444.59493156
Iteration 1001, loss = 1444.53972943
Iteration 1002, loss = 1444.53253419
Iteration 1003, loss = 1444.65887694
Iteration 1004, loss = 1444.55849128
Iteration 1005, loss = 1444.78279819
Iteration 1006, loss = 1444.51184962
Iteration 1007, loss = 1444.53042560
Iteration 1008, loss = 1444.50376673
Iteration 1009, loss = 1444.39990108
Iteration 1010, loss = 1444.37870422
Iteration 1011, loss = 1444.38381647
Iteration 1012, loss = 1444.46112563
Iteration 1013, loss = 1444.22018539
Iteration 1014, loss = 1444.18594647
Iteration 1015, loss = 1444.17323666
Iteration 1016, loss = 1444.15454868
Iteration 1017, loss = 1444.15851374
Iteration 1018, loss = 1444.59475217
Iteration 1019, loss = 1444.08369156
Iteration 1020, loss = 1444.01169108
Iteration 1021, loss = 1443.99531395
Iteration 1022, loss = 1444.01394047
Iteration 1023, loss = 1443.98972515
Iteration 1024, loss = 1444.28936663
Iteration 1025, loss = 1443.93903315
Iteration 1026, loss = 1443.93395552
Iteration 1027, loss = 1443.94867052
Iteration 1028, loss = 1443.91728677
Iteration 1029, loss = 1443.86354634
Iteration 1030, loss = 1443.83299829
Iteration 1031, loss = 1443.89307533
Iteration 1032, loss = 1443.75326650
Iteration 1033, loss = 1443.69398005
Iteration 1034, loss = 1443.84087315
Iteration 1035, loss = 1443.70158629
Iteration 1036, loss = 1443.67289943
Iteration 1037, loss = 1443.61109434
Iteration 1038, loss = 1443.57646358
Iteration 1039, loss = 1443.61903569
Iteration 1040, loss = 1443.51858829
Iteration 1041, loss = 1443.64813638
Iteration 1042, loss = 1443.46497264
Iteration 1043, loss = 1443.46031041
Iteration 1044, loss = 1443.40559171
Iteration 1045, loss = 1443.69242350
Iteration 1046, loss = 1443.53724578
Iteration 1047, loss = 1443.36940260
Iteration 1048, loss = 1443.33832777
Iteration 1049, loss = 1443.36952937
Iteration 1050, loss = 1443.29759202
Iteration 1051, loss = 1443.22800743
Iteration 1052, loss = 1443.56869883
Iteration 1053, loss = 1443.23118478
Iteration 1054, loss = 1443.27536321
Iteration 1055, loss = 1443.25043494
Iteration 1056, loss = 1443.12099741
Iteration 1057, loss = 1443.29127095
Iteration 1058, loss = 1443.52718045
Iteration 1059, loss = 1443.16390267
Iteration 1060, loss = 1443.16717433
Iteration 1061, loss = 1443.02028538
Iteration 1062, loss = 1443.03229398
Iteration 1063, loss = 1442.96690479
Iteration 1064, loss = 1443.15854829
Iteration 1065, loss = 1443.05523717
Iteration 1066, loss = 1442.93347926
Iteration 1067, loss = 1442.90622412
Iteration 1068, loss = 1443.04696923
Iteration 1069, loss = 1442.85882599
Iteration 1070, loss = 1442.90327130
Iteration 1071, loss = 1442.89809819
Iteration 1072, loss = 1442.85620812
Iteration 1073, loss = 1442.82799287
Iteration 1074, loss = 1442.75335291
Iteration 1075, loss = 1442.70466838
Iteration 1076, loss = 1442.95683132
Iteration 1077, loss = 1442.62470504
Iteration 1078, loss = 1442.56632661
Iteration 1079, loss = 1442.62825914
Iteration 1080, loss = 1442.50170858
Iteration 1081, loss = 1442.52105444
Iteration 1082, loss = 1442.61626521
Iteration 1083, loss = 1442.72402164
Iteration 1084, loss = 1442.56221557
Iteration 1085, loss = 1442.85450754
Iteration 1086, loss = 1442.57456111
Iteration 1087, loss = 1442.52369718
Iteration 1088, loss = 1442.64950480
Iteration 1089, loss = 1442.52566486
Iteration 1090, loss = 1442.48991524
Iteration 1091, loss = 1442.42230309
Iteration 1092, loss = 1442.32824521
Iteration 1093, loss = 1442.39298490
Iteration 1094, loss = 1442.26811133
Iteration 1095, loss = 1442.18210387
Iteration 1096, loss = 1442.22676211
Iteration 1097, loss = 1442.11326719
Iteration 1098, loss = 1442.12788731
Iteration 1099, loss = 1442.13833003
Iteration 1100, loss = 1442.05819944
Iteration 1101, loss = 1442.29472125
Iteration 1102, loss = 1442.00167482
Iteration 1103, loss = 1441.99996688
Iteration 1104, loss = 1441.95080958
Iteration 1105, loss = 1441.99202053
Iteration 1106, loss = 1441.97951917
Iteration 1107, loss = 1441.86596237
Iteration 1108, loss = 1441.84854367
Iteration 1109, loss = 1441.79872496
Iteration 1110, loss = 1441.80329281
Iteration 1111, loss = 1441.75899315
Iteration 1112, loss = 1441.76258242
Iteration 1113, loss = 1442.18464110
Iteration 1114, loss = 1441.82704071
Iteration 1115, loss = 1441.76643485
Iteration 1116, loss = 1441.66643315
Iteration 1117, loss = 1441.59545047
Iteration 1118, loss = 1441.96282934
Iteration 1119, loss = 1441.63571624
Iteration 1120, loss = 1441.62692098
Iteration 1121, loss = 1441.56408012
Iteration 1122, loss = 1441.53437502
Iteration 1123, loss = 1442.22216774
Iteration 1124, loss = 1441.68236696
Iteration 1125, loss = 1441.73703650
Iteration 1126, loss = 1441.42220831
Iteration 1127, loss = 1441.48827249
Iteration 1128, loss = 1441.58343171
Iteration 1129, loss = 1441.49353504
Iteration 1130, loss = 1441.33705926
Iteration 1131, loss = 1441.33146928
Iteration 1132, loss = 1441.29499225
Iteration 1133, loss = 1441.28765627
Iteration 1134, loss = 1441.27705451
Iteration 1135, loss = 1441.42128216
Iteration 1136, loss = 1441.99799652
Iteration 1137, loss = 1441.18880890
Iteration 1138, loss = 1441.26887001
Iteration 1139, loss = 1441.18808131
Iteration 1140, loss = 1441.10756999
Iteration 1141, loss = 1441.22314293
Iteration 1142, loss = 1441.22886724
Iteration 1143, loss = 1441.21900071
Iteration 1144, loss = 1441.14208714
Iteration 1145, loss = 1441.07944939
Iteration 1146, loss = 1441.00247851
Iteration 1147, loss = 1441.12017662
Iteration 1148, loss = 1440.97331460
Iteration 1149, loss = 1440.93800381
Iteration 1150, loss = 1440.95346124
Iteration 1151, loss = 1441.17135768
Iteration 1152, loss = 1440.98839997
Iteration 1153, loss = 1440.92017238
Iteration 1154, loss = 1441.16751531
Iteration 1155, loss = 1440.97017644
Iteration 1156, loss = 1440.78236337
Iteration 1157, loss = 1440.82025463
Iteration 1158, loss = 1441.27554853
Iteration 1159, loss = 1440.85216300
Iteration 1160, loss = 1440.77072151
Iteration 1161, loss = 1440.73316290
Iteration 1162, loss = 1440.77559492
Iteration 1163, loss = 1440.66316135
Iteration 1164, loss = 1440.70308148
Iteration 1165, loss = 1440.67735718
Iteration 1166, loss = 1440.58706758
Iteration 1167, loss = 1440.77517093
Iteration 1168, loss = 1440.53175703
Iteration 1169, loss = 1440.63723015
Iteration 1170, loss = 1440.56881302
Iteration 1171, loss = 1440.52292880
Iteration 1172, loss = 1440.49977278
Iteration 1173, loss = 1440.48562507
Iteration 1174, loss = 1440.57049310
Iteration 1175, loss = 1440.89914436
Iteration 1176, loss = 1440.36740120
Iteration 1177, loss = 1440.35986343
Iteration 1178, loss = 1440.41489114
Iteration 1179, loss = 1440.31987374
Iteration 1180, loss = 1440.30495529
Iteration 1181, loss = 1440.32879118
Iteration 1182, loss = 1440.40497478
Iteration 1183, loss = 1440.28273858
Iteration 1184, loss = 1440.23601385
Iteration 1185, loss = 1440.20084001
Iteration 1186, loss = 1440.16383450
Iteration 1187, loss = 1440.16016171
Iteration 1188, loss = 1440.10964702
Iteration 1189, loss = 1440.13577087
Iteration 1190, loss = 1440.22226220
Iteration 1191, loss = 1440.08453862
Iteration 1192, loss = 1440.07671973
Iteration 1193, loss = 1440.20694230
Iteration 1194, loss = 1440.07561833
Iteration 1195, loss = 1439.96061434
Iteration 1196, loss = 1439.94675741
Iteration 1197, loss = 1439.93954325
Iteration 1198, loss = 1439.92185013
Iteration 1199, loss = 1439.85941324
Iteration 1200, loss = 1439.85059202
Iteration 1201, loss = 1439.99062788
Iteration 1202, loss = 1439.87034670
Iteration 1203, loss = 1439.78231140
Iteration 1204, loss = 1439.77305004
Iteration 1205, loss = 1439.76761061
Iteration 1206, loss = 1439.71134747
Iteration 1207, loss = 1439.96893469
Iteration 1208, loss = 1439.70541936
Iteration 1209, loss = 1439.64887689
Iteration 1210, loss = 1439.64886506
Iteration 1211, loss = 1439.67651588
Iteration 1212, loss = 1439.62046494
Iteration 1213, loss = 1439.60041063
Iteration 1214, loss = 1439.64040151
Iteration 1215, loss = 1439.49708289
Iteration 1216, loss = 1439.74122650
Iteration 1217, loss = 1439.54970003
Iteration 1218, loss = 1439.48692342
Iteration 1219, loss = 1439.46390264
Iteration 1220, loss = 1439.47118023
Iteration 1221, loss = 1439.41976211
Iteration 1222, loss = 1439.50631188
Iteration 1223, loss = 1439.31723086
Iteration 1224, loss = 1439.37070938
Iteration 1225, loss = 1439.30816497
Iteration 1226, loss = 1439.31974614
Iteration 1227, loss = 1439.48839071
Iteration 1228, loss = 1439.35462026
Iteration 1229, loss = 1439.57336494
Iteration 1230, loss = 1439.21544667
Iteration 1231, loss = 1439.16463252
Iteration 1232, loss = 1439.20205107
Iteration 1233, loss = 1439.14012868
Iteration 1234, loss = 1439.09839095
Iteration 1235, loss = 1439.08318285
Iteration 1236, loss = 1439.09319636
Iteration 1237, loss = 1439.04647609
Iteration 1238, loss = 1439.18849508
Iteration 1239, loss = 1439.00014524
Iteration 1240, loss = 1438.97150307
Iteration 1241, loss = 1438.95134589
Iteration 1242, loss = 1439.01195468
Iteration 1243, loss = 1438.90342193
Iteration 1244, loss = 1439.00980627
Iteration 1245, loss = 1438.90394654
Iteration 1246, loss = 1439.04190874
Iteration 1247, loss = 1438.80762844
Iteration 1248, loss = 1438.91867388
Iteration 1249, loss = 1438.84048419
Iteration 1250, loss = 1438.77357753
Iteration 1251, loss = 1438.76685993
Iteration 1252, loss = 1438.81199832
Iteration 1253, loss = 1438.76991815
Iteration 1254, loss = 1438.93797280
Iteration 1255, loss = 1438.68118202
Iteration 1256, loss = 1438.72611661
Iteration 1257, loss = 1438.63375470
Iteration 1258, loss = 1438.60789653
Iteration 1259, loss = 1438.60895629
Iteration 1260, loss = 1438.67310556
Iteration 1261, loss = 1438.56737716
Iteration 1262, loss = 1438.60556810
Iteration 1263, loss = 1438.61488426
Iteration 1264, loss = 1438.51765526
Iteration 1265, loss = 1438.71867327
Iteration 1266, loss = 1438.54494105
Iteration 1267, loss = 1438.82736863
Iteration 1268, loss = 1438.44382280
Iteration 1269, loss = 1438.42826223
Iteration 1270, loss = 1438.43542430
Iteration 1271, loss = 1438.46903202
Iteration 1272, loss = 1438.40549701
Iteration 1273, loss = 1438.39027765
Iteration 1274, loss = 1438.29904071
Iteration 1275, loss = 1438.28919363
Iteration 1276, loss = 1438.21612108
Iteration 1277, loss = 1438.37721533
Iteration 1278, loss = 1438.19273494
Iteration 1279, loss = 1438.36950091
Iteration 1280, loss = 1438.30635010
Iteration 1281, loss = 1438.35189006
Iteration 1282, loss = 1438.21074871
Iteration 1283, loss = 1438.34062836
Iteration 1284, loss = 1438.11482316
Iteration 1285, loss = 1438.08808420
Iteration 1286, loss = 1438.14696220
Iteration 1287, loss = 1438.03017409
Iteration 1288, loss = 1438.19429601
Iteration 1289, loss = 1438.07271997
Iteration 1290, loss = 1438.15418159
Iteration 1291, loss = 1438.01570099
Iteration 1292, loss = 1438.01396388
Iteration 1293, loss = 1438.03831024
Iteration 1294, loss = 1438.10232210
Iteration 1295, loss = 1437.88997505
Iteration 1296, loss = 1437.86549844
Iteration 1297, loss = 1437.89731410
Iteration 1298, loss = 1437.81088293
Iteration 1299, loss = 1437.79738318
Iteration 1300, loss = 1437.95266171
Iteration 1301, loss = 1437.90603008
Iteration 1302, loss = 1437.75676568
Iteration 1303, loss = 1437.75986851
Iteration 1304, loss = 1437.74401243
Iteration 1305, loss = 1437.93609590
Iteration 1306, loss = 1437.79819130
Iteration 1307, loss = 1437.73052520
Iteration 1308, loss = 1438.03945091
Iteration 1309, loss = 1437.65166423
Iteration 1310, loss = 1437.62995853
Iteration 1311, loss = 1437.62054464
Iteration 1312, loss = 1437.63048026
Iteration 1313, loss = 1437.58360102
Iteration 1314, loss = 1437.58630287
Iteration 1315, loss = 1437.47235206
Iteration 1316, loss = 1437.43121423
Iteration 1317, loss = 1437.48685965
Iteration 1318, loss = 1437.38083948
Iteration 1319, loss = 1437.41002080
Iteration 1320, loss = 1437.38176788
Iteration 1321, loss = 1437.47582033
Iteration 1322, loss = 1437.37401534
Iteration 1323, loss = 1437.35053493
Iteration 1324, loss = 1437.56092610
Iteration 1325, loss = 1437.34341081
Iteration 1326, loss = 1437.24771540
Iteration 1327, loss = 1437.20583769
Iteration 1328, loss = 1437.23920811
Iteration 1329, loss = 1437.23373633
Iteration 1330, loss = 1437.38662238
Iteration 1331, loss = 1437.11771011
Iteration 1332, loss = 1437.29219949
Iteration 1333, loss = 1437.17592896
Iteration 1334, loss = 1437.22494345
Iteration 1335, loss = 1437.10812469
Iteration 1336, loss = 1437.04279350
Iteration 1337, loss = 1437.06196908
Iteration 1338, loss = 1437.02002831
Iteration 1339, loss = 1436.98420531
Iteration 1340, loss = 1436.94008855
Iteration 1341, loss = 1437.04567890
Iteration 1342, loss = 1436.93793748
Iteration 1343, loss = 1436.86045207
Iteration 1344, loss = 1436.82695458
Iteration 1345, loss = 1436.88739307
Iteration 1346, loss = 1436.81074628
Iteration 1347, loss = 1436.86001142
Iteration 1348, loss = 1436.76139300
Iteration 1349, loss = 1436.74281812
Iteration 1350, loss = 1436.88674939
Iteration 1351, loss = 1436.70592816
Iteration 1352, loss = 1436.88883681
Iteration 1353, loss = 1437.45560017
Iteration 1354, loss = 1436.67846614
Iteration 1355, loss = 1436.73972494
Iteration 1356, loss = 1436.57621547
Iteration 1357, loss = 1436.55212698
Iteration 1358, loss = 1436.51429126
Iteration 1359, loss = 1436.54536548
Iteration 1360, loss = 1436.57178254
Iteration 1361, loss = 1436.57482547
Iteration 1362, loss = 1436.50427343
Iteration 1363, loss = 1436.45433821
Iteration 1364, loss = 1436.48209580
Iteration 1365, loss = 1436.47275138
Iteration 1366, loss = 1436.46171751
Iteration 1367, loss = 1436.54936983
Iteration 1368, loss = 1436.49547935
Iteration 1369, loss = 1436.60046326
Iteration 1370, loss = 1436.35690563
Iteration 1371, loss = 1436.29157841
Iteration 1372, loss = 1436.32843558
Iteration 1373, loss = 1436.29566426
Iteration 1374, loss = 1436.22005129
Iteration 1375, loss = 1436.23594500
Iteration 1376, loss = 1436.27882488
Iteration 1377, loss = 1436.15930790
Iteration 1378, loss = 1436.14520625
Iteration 1379, loss = 1436.12386656
Iteration 1380, loss = 1436.12754484
Iteration 1381, loss = 1436.09725495
Iteration 1382, loss = 1436.11263554
Iteration 1383, loss = 1436.27606237
Iteration 1384, loss = 1436.03476048
Iteration 1385, loss = 1436.01212274
Iteration 1386, loss = 1436.05327054
Iteration 1387, loss = 1435.91366408
Iteration 1388, loss = 1436.09471483
Iteration 1389, loss = 1435.89051238
Iteration 1390, loss = 1436.16274989
Iteration 1391, loss = 1435.81712021
Iteration 1392, loss = 1435.83693760
Iteration 1393, loss = 1435.86574523
Iteration 1394, loss = 1435.77319131
Iteration 1395, loss = 1435.73721185
Iteration 1396, loss = 1435.75426952
Iteration 1397, loss = 1435.72094297
Iteration 1398, loss = 1435.71665142
Iteration 1399, loss = 1435.68039699
Iteration 1400, loss = 1435.68434112
Iteration 1401, loss = 1435.59675181
Iteration 1402, loss = 1435.58339949
Iteration 1403, loss = 1435.92868114
Iteration 1404, loss = 1435.53807000
Iteration 1405, loss = 1435.63446323
Iteration 1406, loss = 1435.52132752
Iteration 1407, loss = 1435.50855674
Iteration 1408, loss = 1435.92146273
Iteration 1409, loss = 1435.48475457
Iteration 1410, loss = 1435.57511152
Iteration 1411, loss = 1435.45977555
Iteration 1412, loss = 1435.49022009
Iteration 1413, loss = 1435.55543506
Iteration 1414, loss = 1435.34597661
Iteration 1415, loss = 1435.25788928
Iteration 1416, loss = 1435.25176104
Iteration 1417, loss = 1435.22863403
Iteration 1418, loss = 1435.47741902
Iteration 1419, loss = 1435.18870316
Iteration 1420, loss = 1435.15885053
Iteration 1421, loss = 1435.18756466
Iteration 1422, loss = 1435.12496390
Iteration 1423, loss = 1435.42307186
Iteration 1424, loss = 1435.10053753
Iteration 1425, loss = 1435.06775761
Iteration 1426, loss = 1435.34801957
Iteration 1427, loss = 1435.05575420
Iteration 1428, loss = 1435.07863704
Iteration 1429, loss = 1435.13590771
Iteration 1430, loss = 1435.00868815
Iteration 1431, loss = 1434.87453567
Iteration 1432, loss = 1434.85115156
Iteration 1433, loss = 1434.86030079
Iteration 1434, loss = 1434.85381408
Iteration 1435, loss = 1434.82090289
Iteration 1436, loss = 1434.85677177
Iteration 1437, loss = 1434.73558080
Iteration 1438, loss = 1434.70880692
Iteration 1439, loss = 1434.67515611
Iteration 1440, loss = 1434.71429952
Iteration 1441, loss = 1434.75236262
Iteration 1442, loss = 1434.61000855
Iteration 1443, loss = 1434.71157380
Iteration 1444, loss = 1434.83146297
Iteration 1445, loss = 1434.56911618
Iteration 1446, loss = 1434.51298093
Iteration 1447, loss = 1434.56756406
Iteration 1448, loss = 1434.60376269
Iteration 1449, loss = 1434.48237062
Iteration 1450, loss = 1434.37747930
Iteration 1451, loss = 1434.39981335
Iteration 1452, loss = 1434.42792654
Iteration 1453, loss = 1434.44093298
Iteration 1454, loss = 1434.41947316
Iteration 1455, loss = 1434.37837782
Iteration 1456, loss = 1434.38237181
Iteration 1457, loss = 1434.20549576
Iteration 1458, loss = 1434.20928820
Iteration 1459, loss = 1434.46603401
Iteration 1460, loss = 1434.35344285
Iteration 1461, loss = 1434.77820608
Iteration 1462, loss = 1434.26391191
Iteration 1463, loss = 1434.29868341
Iteration 1464, loss = 1434.30738168
Iteration 1465, loss = 1434.06418663
Iteration 1466, loss = 1434.06336935
Iteration 1467, loss = 1434.36151120
Iteration 1468, loss = 1434.00556977
Iteration 1469, loss = 1434.06458639
Iteration 1470, loss = 1434.23713946
Iteration 1471, loss = 1433.92607384
Iteration 1472, loss = 1433.91780135
Iteration 1473, loss = 1433.85718360
Iteration 1474, loss = 1433.85052096
Iteration 1475, loss = 1433.82323180
Iteration 1476, loss = 1433.77693046
Iteration 1477, loss = 1433.69878726
Iteration 1478, loss = 1434.13958660
Iteration 1479, loss = 1434.13464867
Iteration 1480, loss = 1433.89177980
Iteration 1481, loss = 1433.67344298
Iteration 1482, loss = 1433.62173707
Iteration 1483, loss = 1433.57986873
Iteration 1484, loss = 1433.50826751
Iteration 1485, loss = 1433.66549874
Iteration 1486, loss = 1433.44925260
Iteration 1487, loss = 1433.55122041
Iteration 1488, loss = 1433.54937297
Iteration 1489, loss = 1433.38300527
Iteration 1490, loss = 1433.54839904
Iteration 1491, loss = 1433.31202558
Iteration 1492, loss = 1433.27525747
Iteration 1493, loss = 1433.16715878
Iteration 1494, loss = 1433.14259333
Iteration 1495, loss = 1433.21808542
Iteration 1496, loss = 1433.07995422
Iteration 1497, loss = 1433.05453153
Iteration 1498, loss = 1433.12746471
Iteration 1499, loss = 1433.26113103
Iteration 1500, loss = 1432.93633340
Iteration 1501, loss = 1433.17055722
Iteration 1502, loss = 1433.09375542
Iteration 1503, loss = 1432.80160644
Iteration 1504, loss = 1432.76016352
